emp no,Attrition,CF_attrition label,CF_age band,Department,Job Role,Business Travel,Over Time,Training Times Last Year,Daily Rate,Distance From Home,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
STAFF-1,Yes,Ex-Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,0,1102,1,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,1,6,4,0,5
STAFF-2,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Frequently,No,3,279,8,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,10,7,1,7
STAFF-4,Yes,Ex-Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,3,1373,2,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,0,0,0,0
STAFF-5,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,3,1392,3,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,8,7,3,0
STAFF-7,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,591,2,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,2,2,2,2
STAFF-8,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,2,1005,2,4,79,3,1,4,3068,11864,0,13,3,3,80,0,8,2,7,7,3,6
STAFF-10,No,Current Employees,Over 55,R&D,Laboratory Technician,Travel_Rarely,Yes,3,1324,3,3,81,4,1,1,2670,9964,4,20,4,1,80,3,12,2,1,0,0,0
STAFF-11,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1358,24,4,67,3,1,3,2693,13335,1,22,4,2,80,1,1,3,1,0,0,0
STAFF-12,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,No,2,216,23,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8
STAFF-13,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,3,1299,27,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,2,7,7,7,7
STAFF-14,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,5,809,16,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,3,5,4,0,3
STAFF-15,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,3,153,15,4,49,2,2,3,4193,12682,0,12,3,4,80,0,10,3,9,5,0,8
STAFF-16,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,1,670,26,1,31,3,1,3,2911,15170,1,17,3,4,80,1,5,2,5,2,4,3
STAFF-18,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1346,19,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,3,2,2,1,2
STAFF-19,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,4,103,24,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,3,4,2,0,3
STAFF-20,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,1,1389,21,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,3,10,9,8,8
STAFF-21,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,5,334,5,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,2,6,2,0,5
STAFF-22,No,Current Employees,Under 25,R&D,Laboratory Technician,Non-Travel,Yes,2,1123,16,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,1,0,0,0
STAFF-23,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,3,1219,2,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,25,8,3,7
STAFF-24,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,3,371,2,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,2,1,2
STAFF-26,No,Current Employees,Under 25,R&D,Manufacturing Director,Non-Travel,No,5,673,11,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,2,4,2,1,3
STAFF-27,Yes,Ex-Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,No,4,1218,9,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,3,5,3,0,3
STAFF-28,No,Current Employees,25 - 34,R&D,Research Director,Travel_Rarely,No,4,419,7,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,3,12,6,2,11
STAFF-30,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,6,391,15,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,3,0,0,0,0
